year,month,adm0_name,adminstrata,rCSI Mean
2018,10,Yemen,Al Bayda,21.699631
2018,10,Yemen,Al Hudaydah,21.76034
2018,10,Yemen,Al Jawf,25.86969
2018,10,Yemen,Al Maharah,17.530979
2018,10,Yemen,Al Mahwit,29.222759
2018,10,Yemen,Amran,26.804199
2018,10,Yemen,Dhamar,25.564409
2018,10,Yemen,Hadramaut,21.059891
2018,10,Yemen,Hajjah,27.19025
2018,10,Yemen,Ibb,24.456301
2018,10,Yemen,Lahj,19.87929
2018,10,Yemen,Marib,20.44743
2018,10,Yemen,Raymah,28.409
2018,10,Yemen,Sa'dah,22.910669
2018,10,Yemen,Sana'a,25.44957
2018,10,Yemen,Sana'a City,24.64591
2018,10,Yemen,Shabwah,16.767019
2018,10,Yemen,Taizz,24.030029
2018,11,Yemen,Yemen,21.310511
2018,11,Yemen,Abyan,18.95459
2018,11,Yemen,Ad Dali,19.817659
2018,11,Yemen,Aden,16.018499
2018,11,Yemen,Al Bayda,23.250521
2018,11,Yemen,Al Hudaydah,21.078859
2018,11,Yemen,Al Jawf,18.770639
2018,11,Yemen,Al Maharah,14.12853
2018,11,Yemen,Al Mahwit,21.994989
2018,11,Yemen,Amran,21.40275
2018,11,Yemen,Dhamar,22.585211
2018,11,Yemen,Hadramaut,15.55199
2018,11,Yemen,Hajjah,25.376591
2018,11,Yemen,Ibb,22.23978
2018,11,Yemen,Lahj,17.570881
2018,11,Yemen,Marib,20.867571
2018,11,Yemen,Raymah,24.652069
2018,11,Yemen,Sa'dah,19.5979
2018,11,Yemen,Sana'a,23.557831
2018,11,Yemen,Sana'a City,24.31098
2018,11,Yemen,Shabwah,14.63938
2018,11,Yemen,Taizz,19.81728
2018,12,Yemen,Yemen,21.17091
2018,12,Yemen,Abyan,15.21837
2018,12,Yemen,Ad Dali,19.499861
2018,12,Yemen,Aden,15.39949
2018,12,Yemen,Al Bayda,19.554569
2018,12,Yemen,Al Hudaydah,21.72702
2018,12,Yemen,Al Jawf,21.344749
2018,12,Yemen,Al Maharah,10.37065
2018,12,Yemen,Al Mahwit,24.78854
2018,12,Yemen,Amran,21.344049
2018,12,Yemen,Dhamar,23.298229
2018,12,Yemen,Hadramaut,17.259781
2018,12,Yemen,Hajjah,24.60107
2018,12,Yemen,Ibb,22.349369
2018,12,Yemen,Lahj,14.80339
2018,12,Yemen,Marib,21.538731
2018,12,Yemen,Raymah,22.575741
2018,12,Yemen,Sa'dah,18.899879
2018,12,Yemen,Sana'a,22.68767
2018,12,Yemen,Sana'a City,23.5128
2018,12,Yemen,Shabwah,14.14228
2018,12,Yemen,Taizz,20.72727
2019,1,Yemen,Yemen,20.642241
2019,1,Yemen,Abyan,15.88065
2019,1,Yemen,Ad Dali,21.094721
2019,1,Yemen,Aden,18.49021
2019,1,Yemen,Al Bayda,21.21821
2019,1,Yemen,Al Hudaydah,21.113501
2019,1,Yemen,Al Jawf,21.514759
2019,1,Yemen,Al Maharah,11.35725
2019,1,Yemen,Al Mahwit,21.49688
2019,1,Yemen,Amran,17.881229
2019,1,Yemen,Dhamar,19.27232
2019,1,Yemen,Hadramaut,14.52465
2019,1,Yemen,Hajjah,25.29056
2019,1,Yemen,Ibb,19.50285
2019,1,Yemen,Lahj,18.59771
2019,1,Yemen,Marib,23.618759
2019,1,Yemen,Raymah,22.700109
2019,1,Yemen,Sa'dah,22.99444
2019,1,Yemen,Sana'a,23.52313
2019,1,Yemen,Sana'a City,24.10836
2019,1,Yemen,Shabwah,16.08444
2019,1,Yemen,Taizz,18.772381
2019,2,Yemen,Yemen,20.270849
2019,3,Yemen,Yemen,20.1859
2019,3,Yemen,Abyan,15.62589
2019,3,Yemen,Ad Dali,18.80736
2019,3,Yemen,Aden,16.08712
2019,3,Yemen,Al Bayda,20.561741
2019,3,Yemen,Al Hudaydah,20.085369
2019,3,Yemen,Al Jawf,18.29381
2019,3,Yemen,Al Maharah,10.54112
2019,3,Yemen,Al Mahwit,23.81778
2019,3,Yemen,Amran,22.00939
2019,3,Yemen,Dhamar,20.95723
2019,3,Yemen,Hadramaut,13.63983
2019,3,Yemen,Hajjah,23.09816
2019,3,Yemen,Ibb,22.17581
2019,3,Yemen,Lahj,12.64221
2019,3,Yemen,Marib,22.635679
2019,3,Yemen,Raymah,23.326031
2019,3,Yemen,Sa'dah,17.95392
2019,3,Yemen,Sana'a,21.72607
2019,3,Yemen,Sana'a City,22.195829
2019,3,Yemen,Shabwah,16.009979
2019,3,Yemen,Taizz,20.3834
2019,4,Yemen,Yemen,21.55434
2019,4,Yemen,Abyan,15.18881
2019,4,Yemen,Ad Dali,19.14905
2019,4,Yemen,Aden,12.34085
2019,4,Yemen,Al Bayda,21.340851
2019,4,Yemen,Al Hudaydah,24.65819
2019,4,Yemen,Al Jawf,21.337811
2019,4,Yemen,Al Maharah,12.34159
2019,4,Yemen,Al Mahwit,21.047421
2019,4,Yemen,Amran,20.92494
2019,4,Yemen,Dhamar,23.19664
2019,4,Yemen,Hadramaut,13.54477
2019,4,Yemen,Hajjah,24.966709
2019,4,Yemen,Ibb,22.21904
