year,month,adm0_name,adminstrata,FCS Mean
2018,1,Yemen,Raymah,39.673569
2019,1,Yemen,Raymah,44.79702
2018,1,Yemen,Sa'dah,48.15794
2019,1,Yemen,Sa'dah,57.874962
2018,1,Yemen,Sana'a,40.374062
2019,1,Yemen,Sana'a,49.72311
2018,1,Yemen,Sana'a City,45.12796
2018,1,Yemen,Sana'a City,45.12796
2019,1,Yemen,Sana'a City,50.4785
2018,1,Yemen,Shabwah,44.00053
2019,1,Yemen,Shabwah,51.551029
2018,1,Yemen,Sheba,42.372589
2018,1,Yemen,Tahamh,45.55492
2018,1,Yemen,Taizz,41.177528
2019,1,Yemen,Taizz,48.903278
2018,1,Yemen,Yemen,43.98645
2019,1,Yemen,Yemen,51.207539
2019,2,Yemen,Yemen,51.16061
2019,3,Yemen,Yemen,50.631378
2019,3,Yemen,Abyan,47.062229
2019,3,Yemen,Ad Dali,43.986061
2019,3,Yemen,Aden,60.895851
2019,3,Yemen,Al Bayda,46.34951
2019,3,Yemen,Al Hudaydah,53.979561
2019,3,Yemen,Al Jawf,47.804619
2019,3,Yemen,Al Maharah,69.621109
2019,3,Yemen,Al Mahwit,51.241192
2019,3,Yemen,Amran,52.17263
2019,3,Yemen,Dhamar,49.954929
2019,3,Yemen,Hadramaut,57.389118
2019,3,Yemen,Hajjah,50.567291
2019,3,Yemen,Ibb,49.081879
2019,3,Yemen,Lahj,48.17474
2019,3,Yemen,Marib,42.814041
2019,3,Yemen,Raymah,41.190491
2019,3,Yemen,Sa'dah,52.57336
2019,3,Yemen,Sana'a,49.9389
2019,3,Yemen,Sana'a City,53.137539
2019,3,Yemen,Shabwah,49.692669
2019,3,Yemen,Taizz,48.373009
2019,4,Yemen,Yemen,48.583649
2019,4,Yemen,Abyan,45.703972
2019,4,Yemen,Ad Dali,42.685249
2019,4,Yemen,Aden,62.356899
2019,4,Yemen,Al Bayda,41.179001
2019,4,Yemen,Al Hudaydah,43.87706
2019,4,Yemen,Al Jawf,43.825981
2019,4,Yemen,Al Maharah,68.202278
2019,4,Yemen,Al Mahwit,57.902771
2019,4,Yemen,Amran,52.114799
2019,4,Yemen,Dhamar,49.506828
2019,4,Yemen,Hadramaut,52.34341
2019,4,Yemen,Hajjah,47.886871
2019,4,Yemen,Ibb,48.764519
2019,4,Yemen,Lahj,44.7318
2019,4,Yemen,Marib,49.274078
2019,4,Yemen,Raymah,40.16888
2019,4,Yemen,Sa'dah,53.463371
2019,4,Yemen,Sana'a,47.914219
2019,4,Yemen,Sana'a City,53.672878
2019,4,Yemen,Shabwah,53.101379
2019,4,Yemen,Taizz,48.92622
2019,5,Yemen,Yemen,54.100311
2019,6,Yemen,,51.25145
2019,6,Yemen,Yemen,51.25145
2019,6,Yemen,Yemen,51.25145
2019,6,Yemen,Abyan,50.02652
2019,6,Yemen,Ad Dali,45.305981
2019,6,Yemen,Aden,58.975842
2019,6,Yemen,Al Bayda,45.010391
2019,6,Yemen,Al Hudaydah,55.199131
2019,6,Yemen,Al Jawf,49.698879
2019,6,Yemen,Al Maharah,68.129028
2019,6,Yemen,Al Mahwit,54.088181
2019,6,Yemen,Amran,45.451408
2019,6,Yemen,Dhamar,52.706829
2019,6,Yemen,Hadramaut,50.361679
2019,6,Yemen,Hajjah,46.831059
2019,6,Yemen,Ibb,48.866779
2019,6,Yemen,Lahj,51.233761
2019,6,Yemen,Marib,47.627419
2019,6,Yemen,Raymah,44.068001
2019,6,Yemen,Sa'dah,58.543419
2019,6,Yemen,Sana'a,54.081829
2019,6,Yemen,Sana'a City,54.647469
2019,6,Yemen,Shabwah,50.278759
2019,6,Yemen,Taizz,49.783051
2019,7,Yemen,,50.194988
2019,7,Yemen,Yemen,50.194988
2019,7,Yemen,Abyan,52.298641
2019,7,Yemen,Ad Dali,43.522789
2019,7,Yemen,Aden,61.91663
2019,7,Yemen,Al Bayda,44.324478
2019,7,Yemen,Al Hudaydah,56.638519
2019,7,Yemen,Al Jawf,43.113251
2019,7,Yemen,Al Maharah,65.069939
2019,7,Yemen,Al Mahwit,54.12281
2019,7,Yemen,Amran,48.49519
2019,7,Yemen,Dhamar,50.071949
2019,7,Yemen,Hadramaut,58.483959
2019,7,Yemen,Hajjah,49.101002
2019,7,Yemen,Ibb,48.10416
2019,7,Yemen,Lahj,45.894348
2019,7,Yemen,Marib,43.387161
2019,7,Yemen,Raymah,45.560001
2019,7,Yemen,Sa'dah,55.788361
2019,7,Yemen,Sana'a,46.813251
2019,7,Yemen,Sana'a City,52.95126
2019,7,Yemen,Shabwah,48.22065
2019,7,Yemen,Taizz,45.867069
2019,8,Yemen,Yemen,51.291439
2019,8,Yemen,Abyan,48.880402
2019,8,Yemen,Ad Dali,46.391029
2019,8,Yemen,Aden,59.79184
2019,8,Yemen,Al Bayda,47.375969
2019,8,Yemen,Al Hudaydah,56.553829
2019,8,Yemen,Al Jawf,46.046051
2019,8,Yemen,Al Maharah,65.263298
2019,8,Yemen,Al Mahwit,54.173729
2019,8,Yemen,Amran,48.861031
2019,8,Yemen,Dhamar,49.082142
2019,8,Yemen,Hadramaut,55.742771
2019,8,Yemen,Hajjah,49.636711
2019,8,Yemen,Ibb,45.44648
2019,8,Yemen,Lahj,48.27956
2019,8,Yemen,Marib,50.549969
2019,8,Yemen,Raymah,44.939919
2019,8,Yemen,Sa'dah,54.150959
2019,8,Yemen,Sana'a,50.60532
2019,8,Yemen,Sana'a City,57.134892
2019,8,Yemen,Shabwah,49.025188
2019,8,Yemen,Taizz,50.841621
2019,9,Yemen,Yemen,49.74498
2019,9,Yemen,Abyan,50.045898
2019,9,Yemen,Ad Dali,47.04018
2019,9,Yemen,Aden,55.62785
2019,9,Yemen,Al Bayda,44.073719
2019,9,Yemen,Al Hudaydah,56.921452
2019,9,Yemen,Al Jawf,44.758671
2019,9,Yemen,Al Maharah,63.229671
2019,9,Yemen,Al Mahwit,51.525532
2019,9,Yemen,Amran,49.635208
2019,9,Yemen,Dhamar,48.18306
2019,9,Yemen,Hadramaut,52.299568
2019,9,Yemen,Hajjah,50.034069
2019,9,Yemen,Ibb,45.987881
2019,9,Yemen,Lahj,46.097149
2019,9,Yemen,Marib,48.714451
2019,9,Yemen,Raymah,43.645199
2019,9,Yemen,Sa'dah,49.729622
2019,9,Yemen,Sana'a,47.614841
2019,9,Yemen,Sana'a City,52.495979
2019,9,Yemen,Shabwah,49.002949
2019,9,Yemen,Taizz,47.917889
2018,2,Yemen,Yemen,48.065151
2020,3,Yemen,,51.312859
2020,3,Yemen,Abyan,50.66473
2020,3,Yemen,Ad Dali,46.513409
2020,3,Yemen,Aden,60.488579
2020,3,Yemen,Al Bayda,47.810188
2020,3,Yemen,Al Hudaydah,55.06757
2020,3,Yemen,Al Jawf,43.901958
2020,3,Yemen,Al Maharah,62.550201
2020,3,Yemen,Al Mahwit,51.764709
2020,3,Yemen,Amran,50.1371
2020,3,Yemen,Dhamar,49.549549
2020,3,Yemen,Hadramaut,58.61343
2020,3,Yemen,Hajjah,53.333328
2020,3,Yemen,Ibb,47.799091
2020,3,Yemen,Lahj,45.630951
2020,3,Yemen,Marib,50.935188
2020,3,Yemen,Raymah,43.386829
2020,3,Yemen,Sa'dah,55.046951
2020,3,Yemen,Sana'a,51.14167
2020,3,Yemen,Sana'a City,51.663891
2020,3,Yemen,Shabwah,47.518291
2020,3,Yemen,Taizz,48.977779
2020,3,Yemen,Yemen,51.312859
2020,4,Yemen,Yemen,52.651119
2020,4,Yemen,Abyan,51.59874
2020,4,Yemen,Ad Dali,46.491669
2020,4,Yemen,Aden,58.363892
2020,4,Yemen,Al Bayda,46.283329
2020,4,Yemen,Al Hudaydah,57.133331
2020,4,Yemen,Al Jawf,47.11042
2020,4,Yemen,Al Maharah,62.883331
2020,4,Yemen,Al Mahwit,54.169998
2020,4,Yemen,Amran,45.380562
2020,4,Yemen,Dhamar,48.433331
2020,4,Yemen,Hadramaut,55.354759
2020,4,Yemen,Hajjah,54.863892
2020,4,Yemen,Ibb,47.823811
2020,4,Yemen,Lahj,44.69762
2020,4,Yemen,Marib,52.616669
2020,4,Yemen,Raymah,41.356251
2020,4,Yemen,Sa'dah,58.488098
2020,4,Yemen,Sana'a,56.28611
2020,4,Yemen,Sana'a City,54.581009
2020,4,Yemen,Shabwah,51.302078
2020,4,Yemen,Taizz,51.525002
2020,5,Yemen,Yemen,56.897659
2020,5,Yemen,Abyan,53.685421
2020,5,Yemen,Ad Dali,53.910419
2020,5,Yemen,Aden,60.42778
2020,5,Yemen,Al Bayda,50.8381
2020,5,Yemen,Al Hudaydah,58.828571
2020,5,Yemen,Al Jawf,51.07708
2020,5,Yemen,Al Maharah,65.422218
2020,5,Yemen,Al Mahwit,57.16
2020,5,Yemen,Amran,53.113892
2020,5,Yemen,Dhamar,53.833328
2020,5,Yemen,Hadramaut,58.064289
2020,5,Yemen,Hajjah,52.150002
2020,5,Yemen,Ibb,57.8881
2020,5,Yemen,Lahj,48.402382
2020,5,Yemen,Marib,57.854759
2020,5,Yemen,Raymah,44.9375
2020,5,Yemen,Sa'dah,63.185711
2020,5,Yemen,Sana'a,54.541672
2020,5,Yemen,Sana'a City,59.83889
2020,5,Yemen,Shabwah,53.716671
2020,5,Yemen,Taizz,56.761108
